,UNI,WBTC,WETH-DOGEGF,eXRD,SAITAMA,BONDLY,SAITAMA-WETH,USDC,XDB,WETH,COTI,DOGEGF,ETH
2021-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98313.39267331945
2021-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96461.93474538904
2021-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85468.4770066784
2021-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106953.51744987525
2021-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112133.08830249979
2021-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117358.70156763005
2021-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114059.78372197691
2021-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98663.02476812199
2021-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93705.59973901801
2021-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99861.78453169474
2021-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109841.60691915575
2021-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106935.14357480638
2021-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111381.61214952031
2021-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117579.9300629999
2021-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112841.32221214216
2021-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106632.48430085869
2021-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111271.18140839948
2021-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108524.25346285944
2021-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104390.03927763563
2021-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107821.43838895293
2021-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103055.67954577046
2021-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97961.34452660914
2021-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98550.46437399779
2021-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101561.91392912503
2021-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103513.30387533143
2021-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103176.76743084687
2021-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96595.00092999311
2021-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95042.90806510583
2021-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89282.29012725741
2021-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87896.55611386114
2021-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91076.01380824283
2021-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75569.36387753532
2021-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76297.80583756183
2021-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78656.71403428797
2021-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80029.25869704329
2021-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72919.41927545446
2021-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72245.00009659256
2021-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78845.42042675527
2021-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84588.95500044274
2021-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87995.58121306107
2021-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91077.08263692618
2021-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86136.41638297701
2021-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86880.84491046732
2021-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88949.06435672616
2021-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.7600874815206,0.0,0.0,0.0,0.0,890.8860032774083
2021-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.2979159215465,0.0,0.0,0.0,0.0,859.6692179704966
2021-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.5072239526509,0.0,0.0,0.0,0.0,887.9994755229234
2021-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.214962459624,0.0,0.0,0.0,0.0,895.0234597355404
2021-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.3348582679731,0.0,0.0,0.0,0.0,809.1860838884392
2021-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.4580607474543,0.0,0.0,0.0,0.0,831.1355505750419
2021-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.3456543857027,0.0,0.0,0.0,0.0,812.4050614496546
2021-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.5529363840136,0.0,0.0,0.0,0.0,828.3707650532858
2021-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0733058718773,0.0,0.0,0.0,0.0,783.3631066245474
2021-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.2593745711098,0.0,0.0,0.0,0.0,743.0714411037073
2021-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.5773894445771,0.0,0.0,0.0,0.0,770.6051230787341
2021-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.8168507140707,0.0,0.0,0.0,0.0,739.9227999594307
2021-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.2719798610512,0.0,0.0,0.0,0.0,723.4293520206455
2021-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.165010008329,0.0,0.0,0.0,0.0,731.5186448875146
2021-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.4894327073913,0.0,0.0,0.0,0.0,726.1029206994347
2021-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.4111247577124,0.0,0.0,0.0,0.0,700.8261516020998
2021-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.2224588919333,0.0,0.0,0.0,0.0,680.938150037117
2021-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.1278502145746,0.0,0.0,0.0,0.0,760.9019573075013
2021-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.1749244480043,0.0,0.0,0.0,0.0,772.0860538118483
2021-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.585310420584,0.0,0.0,0.0,0.0,804.4096544447801
2021-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.1208978945396,0.0,0.0,0.0,0.0,833.0849319280261
2021-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.2439901265052,0.0,0.0,0.0,0.0,831.4854046912208
2021-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.1816625841927,0.0,0.0,0.0,0.0,862.5569352406118
2021-07-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.6937287630508,0.0,0.0,0.0,0.0,885.2873319403604
2021-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.1560734721509,0.0,0.0,0.0,0.0,880.930494400369
2021-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.4285456477679,0.0,0.0,0.0,0.0,896.2754781319302
2021-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0203543737812,0.0,0.0,0.0,0.0,937.7598457392903
2021-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.2111043811296,0.0,0.0,0.0,0.0,974.5911009829746
2021-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.975712114804,0.0,0.0,0.0,0.0,999.2185032911817
2021-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.3827281161928,0.0,0.0,0.0,0.0,1010.2253656859301
2021-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.634158702836,0.0,0.0,0.0,0.0,966.4965054064954
2021-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.1324978826184,0.0,0.0,0.0,0.0,1048.5304887838906
2021-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.8530620876462,0.0,0.0,0.0,0.0,1083.3348407405501
2021-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0391016280585,0.0,0.0,0.0,0.0,1111.1412823907335
2021-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.1270750685984,0.0,0.0,0.0,0.0,1190.6527577005415
2021-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.7895901582331,0.0,0.0,0.0,0.0,1171.5831501158534
2021-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.110592080528,0.0,0.0,0.0,0.0,1207.3585171113752
2021-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.2837977235567,0.0,0.0,0.0,0.0,1215.2874987164312
2021-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.1617570622336,0.0,0.0,0.0,0.0,1216.3143641072577
2021-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.938682670426,0.0,0.0,0.0,0.0,1083.994994142317
2021-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.5440112594152,0.0,0.0,0.0,0.0,1188.5031083023825
2021-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.7366281937085,0.0,0.0,0.0,0.0,1175.97612775041
2021-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.1395153744588,0.0,0.0,0.0,0.0,1190.5977279945826
2021-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.4186234016831,0.0,0.0,0.0,0.0,1152.0566955645982
2021-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.4522934172375,0.0,0.0,0.0,0.0,1100.1907959667524
2021-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.1923285617066,0.0,0.0,0.0,0.0,1095.7314135633396
2021-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.1381510392331,0.0,0.0,0.0,0.0,1143.9499005953237
2021-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.7072536661626,0.0,0.0,0.0,0.0,1179.6963214707507
2021-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0326366300044,0.0,0.0,0.0,0.0,1173.9110940931832
2021-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0533065945956,0.0,0.0,0.0,0.0,1160.9743421125668
2021-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.7116577286931,0.0,0.0,0.0,0.0,1205.1333105884578
2021-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.8781074949874,0.0,0.0,0.0,0.0,1160.0225146248883
2021-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.5731211879852,0.0,0.0,0.0,0.0,1163.987959923039
2021-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.8361350890227,0.0,0.0,0.0,0.0,1131.9941558964529
2021-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.5392227552771,0.0,0.0,0.0,0.0,1180.9757051353538
2021-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0409141312324,0.0,0.0,0.0,0.0,1170.2704564276712
2021-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.8885133838904,0.0,0.0,0.0,0.0,1173.5274465724813
2021-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.4852392100835,0.0,0.0,0.0,0.0,1187.9487584152303
2021-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.5362215512062,0.0,0.0,0.0,0.0,1230.0248081760192
2021-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.3473804190648,0.0,0.0,0.0,0.0,1361.991091293551
2021-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.9914432938028,0.0,0.0,0.0,0.0,1377.4514941802242
2021-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.305383253603,0.0,0.0,0.0,0.0,1404.8394368039337
2021-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.1853194373866,0.0,0.0,0.0,0.0,1406.5902372963399
2021-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.6958025545257,0.0,0.0,0.0,0.0,1425.5834708197067
2021-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.4971781240149,0.0,0.0,0.0,0.0,1427.920095881118
2021-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.8485437163528,0.0,0.0,0.0,0.0,1242.585130192777
2021-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.3142214994374,0.0,0.0,0.0,0.0,1281.320573778731
2021-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.6864377301176,0.0,0.0,0.0,0.0,1245.6405563722772
2021-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.2093018329482,0.0,0.0,0.0,0.0,1143.4220223484976
2021-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.2953800112983,0.0,0.0,0.0,0.0,1176.9334620739457
2021-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.6117501362828,0.0,0.0,0.0,0.0,1220.084662860107
2021-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.5546962571378,0.0,0.0,0.0,0.0,1189.3470545166597
2021-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.1791085433341,0.0,0.0,0.0,0.0,66129.99232525498
2021-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.995489849325,0.0,0.0,0.0,0.0,69316.95680331877
2021-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.3510083158852,0.0,0.0,0.0,0.0,68596.62871896767
2021-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.5225014232082,0.0,0.0,0.0,0.0,65392.69653111474
2021-09-18,16.28775444844561,23768.733079333408,0.0,0.0,0.0,2.830839901691357e-15,0.0,545.3393930654687,0.0,0.0,0.0,0.0,43462.416605100836
2021-09-19,15.88470576935694,22312.411655322056,0.0,0.0,0.0,2.645972327987626e-15,0.0,545.6408010273934,18432.905032199673,0.0,0.0,0.0,24407.075133329603
2021-09-20,14.151918274929427,20488.54919808115,0.0,0.0,0.0,2.3996960322348463e-15,0.0,545.6427991505675,16089.97117138034,0.0,0.0,0.0,22079.023322536203
2021-09-21,12.670706685268351,19229.14510335477,0.0,0.0,6233.397015183901,1.9505626991666878e-15,1576.4417799424507,545.7027226692818,14912.300474219475,0.0,0.0,0.0,12497.868868241676
2021-09-22,14.449106052120015,20688.34076129011,0.0,0.0,6107.012571973768,2.291276744022183e-15,1659.6330801456768,545.2685300794441,16773.865009302845,0.0,0.0,0.0,14025.713641394548
2021-09-23,6167.540758314244,21230.234413530212,0.0,2.3370143939858417e-15,5013.665478713449,2.1285616186064205e-15,1528.198167946559,545.1534848627136,16762.651628067673,4926.305173479327,0.0,0.0,6184.453174291099
2021-09-24,5749.5935364580255,20389.620383659174,0.0,2.0999145043431765e-15,5384.285459454044,2.1841630009002727e-15,1539.1907304706367,544.7876492021066,16243.227239502758,4638.671255740763,0.0,0.0,5823.359325463278
2021-09-25,5623.599614098635,20331.840358815145,0.0,2.2215330329674015e-15,6490.204920723424,2.0094692878793723e-15,1685.4729535810686,544.9194325210277,15263.077843570856,4597.710007959262,0.0,0.0,5771.936827273563
2021-09-26,6863.037001713292,20372.45410629095,0.0,2.2861116949653722e-15,7258.252551413085,2.0606048504864167e-15,1817.6755551318035,544.7230996697305,15233.467724560456,4758.543020155277,0.0,0.0,5973.845600234118
2021-09-27,6641.586626416916,20515.923729048318,0.0,2.6162935619969165e-15,12177.1173796953,9351.848585473745,2358.3215224227006,545.204016632751,15899.961610864877,3808.985349033687,345.6553597349245,0.0,4629.731386125203
2021-09-28,6769.075121023235,19720.47996330617,0.0,2.3048483261480402e-15,10802.667512470778,8264.297169345364,2169.8297609521455,545.1009723426125,14475.79557827209,3601.5668763400677,312.8106306305773,0.0,4377.619150163092
2021-09-29,6573.489945277634,19673.29377236715,0.0,2.2349161968114384e-15,10251.03166522782,8061.381902074558,2115.9685342487364,545.1964276867666,12390.748802509832,3593.88004998971,348.052775862385,0.0,4368.275994977953
2021-09-30,6696.686945857403,20827.14258633105,0.0,2.2295821686765997e-15,9193.815160173162,15020.069018080501,2073.580843396307,545.1227250014288,12386.48281226763,3814.721345457271,330.8635334858317,0.0,6100.309714153584
2021-10-01,7280.834119089789,22723.83148383103,0.0,2.3661189294909327e-15,8914.846217673099,13065.862581518542,2138.0350164014235,545.2936203847607,11944.777784432801,6055.6692796913585,317.52200345127164,0.0,8494.22160726964
2021-10-02,7740.085779318265,22849.154999832328,0.0,2.504353766389593e-15,8845.41157146227,13423.392164356976,2181.676208551551,545.266017678945,12012.828030390967,6338.7441476531385,322.1757860802636,0.0,8891.287653789026
2021-10-03,7483.106723490345,22804.551443757842,4500.160126882985,2.475537572443261e-15,8251.067311394048,12235.799624715444,2101.7511787412773,545.3392276259832,11764.270393330951,6290.814329139091,302.21933511130067,0.0,1959.9497090238858
2021-10-04,7228.173128202752,23138.321624749406,4296.410125461301,2.8089429999701602e-15,7732.959679771489,12086.728889778899,2026.5418234125716,545.2390597535242,11299.533134753341,6217.0644330514615,284.6915640268301,0.0,1936.9723837024324
2021-10-05,7384.062537310541,24445.062646619466,4232.7386420393805,2.764176976995636e-15,7424.349466404452,12883.140580497306,2033.5973427076178,545.2336357429859,12567.053153952102,6480.284026791146,294.35859292322095,0.0,2018.9803939801861
2021-10-06,7290.073110399444,26193.69405073836,4243.868962970581,2.4176071377984265e-15,4560.108622642034,12531.944343161755,1989.639410029482,544.9805235413172,13327.755363707582,6608.597217623431,275.50393649493907,0.0,4475.124723564854
2021-10-07,0.0,0.0,5565.780038023041,2.3981118775997545e-15,4203.523868997553,0.0,0.0,545.5652060502551,0.0,0.0,302.153315041527,0.0,720.875379172649
2021-10-08,0.0,0.0,6422.510559757546,2.6062736439134796e-15,3773.12309947061,0.0,0.0,545.0876739550689,0.0,0.0,285.0005523243093,0.0,716.4241839404345
2021-10-09,0.0,0.0,6155.959025054849,2.631679358563414e-15,3921.3003666903933,0.0,0.0,544.8284036083221,0.0,0.0,300.63731484405884,0.0,716.5315454507524
2021-10-10,0.0,0.0,1502.705798995576,2.6289758099019725e-15,4150.764623700323,0.0,0.0,545.2593380178032,0.0,0.0,281.14098090203424,2143.7219102432573,3005.7341492064525
2021-10-11,0.0,0.0,1475.171195677207,2.524778729272002e-15,4172.020451949828,0.0,0.0,545.2174817641294,0.0,0.0,274.94868409897344,2024.8073770678843,3060.172949590295
2021-10-12,0.0,0.0,1951.6026028649878,2.3861631411134866e-15,3938.4510814153928,0.0,0.0,545.0549833003765,0.0,0.0,278.78504919219273,3557.647308299685,3037.7268300494698
2021-10-13,0.0,0.0,2080.94530575461,2.2183579429544983e-15,3711.024336154799,0.0,0.0,544.6600129626548,0.0,0.0,271.85159785803637,3880.3352164447588,3124.1547154601562
2021-10-14,0.0,0.0,2002.9608518340242,2.5253870115876476e-15,4001.811885814748,0.0,0.0,544.8130124970244,0.0,0.0,280.8481707473354,3407.3015509539628,3283.064029274907
2021-10-15,0.0,0.0,1802.7803429834128,2.3661928007278975e-15,4327.716025624565,0.0,0.0,545.2451140663728,0.0,0.0,276.19327346285945,2691.0361328836566,3349.2932717642475
2021-10-16,0.0,0.0,2153.1370680647397,2.3063036764166535e-15,2867.7394181610925,0.0,0.0,545.743237060221,0.0,0.0,272.59012192318346,2304.5893599999995,7233.04284833716
2021-10-17,0.0,0.0,2088.146473634304,2.1902896270755585e-15,3369.9275783498865,0.0,0.0,545.2790591816814,0.0,0.0,268.0567189485724,2162.0767199999996,7225.903423833379
2021-10-18,0.0,0.0,2111.0151974242813,2.179555045342707e-15,3003.164719620859,0.0,0.0,545.4723911484054,0.0,0.0,2864.6200552330433,2253.9779999999996,6759.605318897146
2021-10-19,0.0,0.0,2025.220410195337,2.0892558796951044e-15,3442.8340825803402,0.0,0.0,545.442480972333,0.0,1294.0113921871143,213.52806807325945,1996.9845599999996,1109.1100898758123
2021-10-20,0.0,0.0,2134.720751186696,2.054754217632367e-15,4482.258588449851,6141.433067950469,0.0,545.2998763587455,0.0,1379.56926719901,218.25584162751232,2076.47936,1182.4425991697533
2021-10-21,0.0,0.0,2261.944678273553,2.6387564254589843e-15,4836.165457326077,6496.671762528809,0.0,544.8482850826299,0.0,1362.9121080344848,223.52683180852895,2355.4190399999998,1168.1655816646628
2021-10-22,0.0,0.0,2373.6387350369214,2.6119835168649004e-15,6983.056002674946,6571.730991959059,0.0,545.0831167313306,0.0,1326.7445296114286,224.21103221568328,2659.4532799999997,1137.1659889272396
2021-10-23,0.0,0.0,2455.919158299936,2.4755013397565132e-15,7540.5437067524945,6782.609819759909,0.0,545.146711136079,0.0,1377.0533960829669,225.0642881813345,2737.2583199999995,1180.2862209056377
2021-10-24,0.0,0.0,2762.3726073002413,2.452778553388016e-15,7293.945206851938,6052.114541487979,0.0,545.691840659365,0.0,1363.5640931152222,214.4882023921232,3481.2767999999996,1168.7244045899172
2021-10-25,0.0,0.0,3031.8682575111147,2.3331251333013117e-15,5427.093944661607,6313.840591756479,0.0,544.3785066292992,0.0,1408.3019601127496,221.04562324913076,4046.0411199999994,5146.817205818344
2021-10-26,0.0,0.0,3305.9348045251604,2.4453717191686205e-15,5272.84099616352,6573.145448990149,0.0,546.0230504629105,0.0,1373.4528156993115,216.23640405802894,4913.048319999999,5019.456610466498
2021-10-27,0.0,0.0,2824.4784595573315,2.289647212340833e-15,5168.246188751816,5627.5483099798985,0.0,546.568746571546,0.0,1328.6260988710305,205.51838171249358,3661.457519999999,1797.1551778101616
2021-10-28,0.0,0.0,2788.213356447278,2.2612510812151266e-15,5785.6226327038385,5334.523902395699,0.0,545.1670493332678,0.0,1424.0394617114368,238.04436165953183,3213.056159999999,1926.2152792236602
2021-10-29,0.0,0.0,3108.949271848923,2.2636162702849635e-15,5796.371347891212,5712.934461522709,0.0,546.0352209096633,0.0,1476.7265249940126,250.53554913017174,3828.286799999999,1997.4820025420945
2021-10-30,0.0,0.0,2915.989877700934,2.4881951178649383e-15,5813.173040943642,5783.796549512639,0.0,546.0011630490378,0.0,1432.9704546618811,230.23339519627916,3460.6770399999996,1938.2957134688668
2021-10-31,0.0,0.0,2723.0107158395513,2.3103676325593694e-15,5932.167957285988,5560.77518239609,0.0,545.4247987771834,0.0,1439.2441956971716,287.46820369947636,2996.5241599999995,1946.7818377406936
2021-11-01,0.0,0.0,2604.1805532309622,2.6528310653624587e-15,6608.684987217517,5154.4203669033695,0.0,545.7472783510589,0.0,1444.9758686020052,276.097772037737,2711.6559199999997,1954.5347380090152
2021-11-02,0.0,0.0,2465.8833751168786,2.67310138981681e-15,7127.40837393332,5930.048016608899,0.0,544.9759817008568,0.0,1521.5326179562455,264.23539306899613,2276.5138399999996,2058.088596099863
2021-11-03,0.0,0.0,2343.539504216444,3.115572548087557e-15,7228.881621013423,6207.076548628469,0.0,545.9668876333493,0.0,1535.0274339785217,250.57823082660434,2025.6275199999998,2076.342248130812
2021-11-04,0.0,0.0,2353.9837439327102,3.3048510626660957e-15,6677.573247188309,6006.9072458068695,0.0,545.8536086089285,0.0,1493.1554570553146,246.1798241272313,2092.15656,2019.7044625291057
